record_id,page_key,slot_id,family,page_type,sort_order,target_keyword,page_title,url_slug,approval_status,content_status,instruction_ref,instruction_in_control_table,inferred_parent_slot,coverage_class,flags
rec7fyDPxevfUjMak,1dev-ai-coding-services/svc-cat01-hub,svc-cat01-hub,svc,SVC-HUB,100,custom software development,Custom Software Development,custom-software-development,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reccOWSGW38ZxJ9Ya,1dev-ai-coding-services/svc-cat01-01,svc-cat01-01,svc,SVC-CHILD,101,custom business applications,Custom Business Applications,custom-business-applications,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recnk4cpqPZctsAlF,1dev-ai-coding-services/svc-cat01-02,svc-cat01-02,svc,SVC-CHILD,102,desktop application development,Desktop Application Development,desktop-application-development,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recO172dJYj04EuSq,1dev-ai-coding-services/svc-cat01-03,svc-cat01-03,svc,SVC-CHILD,103,internal tools and admin panels,Internal Tools and Admin Panels,internal-tools-and-admin-panels,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recscAiNmx5G8cbBn,1dev-ai-coding-services/svc-cat01-04,svc-cat01-04,svc,SVC-CHILD,104,saas product development,SaaS Product Development,saas-product-development,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec5TB8EOPH1KYq21,1dev-ai-coding-services/svc-cat01-05,svc-cat01-05,svc,SVC-CHILD,105,legacy system replacement,Legacy System Replacement,legacy-system-replacement,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recjx4Xrl9wOyT3DZ,1dev-ai-coding-services/svc-cat01-06,svc-cat01-06,svc,SVC-CHILD,106,domain-specific software builds,Domain-Specific Software Builds,domain-specific-software-builds,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recCu03CqIxtM1V7M,1dev-ai-coding-services/svc-cat01-07,svc-cat01-07,svc,SVC-CHILD,107,multi-tenant application development,Multi-Tenant Application Development,multi-tenant-application-development,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recDYApXaus7XlWTI,1dev-ai-coding-services/svc-cat01-08,svc-cat01-08,svc,SVC-CHILD,108,workflow-centric custom software,Workflow-Centric Custom Software,workflow-centric-custom-software,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recu4me18K2YQCnO2,1dev-ai-coding-services/svc-cat01-09,svc-cat01-09,svc,SVC-CHILD,109,data-heavy application development,Data-Heavy Application Development,data-heavy-application-development,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
